"product_name","avg_rating"
"ZunVolt Power MG5 500 Mixer Grinder 3 Jars White","5.00"
"Stylish Brown Sports Men Watches Multifunctional Luxury Waterproof Modern Digital Watch   For Men","5.00"
"LS2917 Mesh Strap All Black Avatar Day and Date Functioning Quartz Analog Watch   For Men","5.00"
"BAJAJ FX7 600 W Food Processor","5.00"
"LA VERNE Self Design Double Mink Blanket for  Heavy WinterWoollen Blend Pink","5.00"
"Lopezs Microfiber Floor MatGrey23mm Medium","4.95"
"Educart CBSE Class 10 Sample Papers 202223 Bundle  Science And Mathematics Standard 2 Books 2023 EdubookPaperback Educart  Sanjiv Sir","4.94"
"DOJI 6 watt colorWarmWhitespot lightfocus lightwall light Track Lights Ceiling LampMulticolor","4.90"
"Supreme Bazaar Abs Setup Box Holder Unbreakable Crystal Clear Premium Quality Set of Box Stand/Dth Stand Plastic Wall Shelf??????(Number of Shelves - 1, Clear)","4.90"
"Suncrown Furniture Sheesham Wood Solid Wood 2 SeaterFinish Color  Honey Finish DIYDoItYourself","4.90"
"38024PP25 Minimalists Analog Watch   For Men","4.89"
"Omi Cart 2 in 1 Floor Brush Scrubber with Long Handle PlasticGreen","4.88"
"LS2727 Avatar Day and Date Functioning Crocodile Strap Analog Analog Watch   For Men","4.88"
"The Answer Writing Manual For UPSC Civil Services Exam  State PSC By Srushti Deshmukh IASPaperback Srushti Deshmukh IAS","4.87"
"WDIZE Magic Book For Kids ( 4 Book + 10 Refill + 1 Pen + 1 Grip )","4.85"
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)","4.85"
"BD Chaurasias Human Anatomy 8th Edition 2019 Volume 1 2 34Paperpack BD Chaurasia","4.83"
"UPSC Prelims Previous Year Question Papers Last 25 Years GS1 UPSC Previous Year Question Papers Book By StudyIQPaperback StudyIQ Publications","4.83"
"Educart CBSE Class 10 Sample Papers 202223 Bundle  Science SST And Mathematics Standard 3 Books 2023 EdubookPaperback Educart  Sanjiv Sir","4.83"
"BD Chaurasias Human Anatomy 8th Edition 2019 Volume 1 2 34Paperback BD Chaurasia","4.83"
"DIXON Leather Skate Shoes with Carry Bag, Unisex Quad Roller Skates - Size 2??????????(Multicolor)","4.80"
"Moonstruck SEABREEZE DELUX COMBO PACK mixer and iron 550 watt 550 Juicer Mixer Grinder 2 Jars Multicolor","4.80"
"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes for living room showpiece??????(Black, Green, Pink)","4.80"
"RSV Jewelery OrganizersRed Black Plastic","4.80"
"BlackBook Of Samanya Jagrukta General Awareness  Hindi March 2022 By Nikhil GuptaPaperback Hindi NIKHIL GUPTA","4.79"
"APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/AÐÒ?ÐÓ®ÐÂ ÐÒ?ÐÓ®ÐÂ (13.3 inch, Silver, 1.29 kg)","4.78"
"Shri Ram Charit Manas Gita Press Gorakhpur  ShriRamCharitManas  ShriRamCharit Manas  Shri RamCharitManas  Shri RamCharit ManasHardcover Hindi Shri Goswami Tulsidas","4.76"
"Indian Art And Culture English  1st Edition For UPSC CSE Prelims  Mains By Study IQPaperback StudyIQ Publications","4.76"
"3D METRO SUPER STORE METROMIXER Pro 0 Juicer 1 Jar Multicolor","4.75"
"DRAMIQ Beautiful Kapoor DaniAroma Diffuser Cum Night Lamp Electrical Camphor Diffuser Plastic Incense HolderWhite","4.75"
"US DZIRE  512 Ganeshji craft Ceiling light wooden lamp shade With Bulb Hanging Night Lamp For Home Dcor office hotel Restaurant Pendants Ceiling LampYellow Brown","4.75"
"DDecora Combo Of 450 ML Vegetable Chopper StainlessSteel Whisk and MasherPack Of 3 Vegetable  Fruit Chopper3","4.75"
"SUJATA POWERMANIC WITH ALUMINIUM BASED COMMERCIAL JUG POWERMATIC 900 Juicer 1 Jar White","4.74"
