"product_price","product_count"
"59","2"
"79","2"
"109","1"
"113","1"
"125","2"
"127","3"
"130","1"
"134","1"
"136","1"
"145","1"
"150","1"
"152","1"
"154","1"
"155","3"
"159","4"
"160","4"
"163","1"
"165","1"
"166","2"
"168","4"
"169","4"
"170","1"
"171","1"
"173","3"
"176","1"
"178","2"
"179","6"
"184","3"
"185","1"
"188","1"
"189","5"
"190","2"
"193","1"
"194","3"
"195","2"
"197","1"
"198","1"
"199","17"
"200","1"
"202","1"
"203","2"
"204","1"
"205","1"
"206","1"
"209","6"
"210","2"
"211","1"
"212","1"
"214","1"
"215","2"
"216","1"
"218","2"
"219","9"
"220","1"
"221","1"
"224","1"
"225","2"
"227","1"
"229","2"
"230","1"
"231","1"
"232","1"
"233","1"
"235","1"
"236","1"
"239","2"
"240","2"
"242","1"
"244","1"
"245","3"
"249","5"
"253","1"
"254","1"
"255","1"
"256","1"
"257","1"
"258","1"
"259","1"
"260","4"
"267","1"
"268","1"
"269","7"
"270","1"
"275","3"
"277","1"
"278","1"
"279","4"
"283","1"
"284","3"
"285","3"
"287","1"
"289","1"
"290","4"
"293","1"
"295","2"
"296","1"
"298","3"
"299","19"
"302","2"
"303","1"
"305","1"
"306","1"
"310","1"
"315","2"
"319","1"
"321","1"
"323","1"
"325","1"
"329","4"
"330","1"
"335","2"
"338","1"
"339","1"
"340","2"
"343","2"
"346","1"
"348","1"
"349","4"
"350","1"
"357","1"
"359","3"
"360","1"
"361","2"
"366","1"
"368","1"
"369","5"
"379","6"
"385","1"
"386","1"
"387","1"
"388","1"
"389","1"
"390","1"
"394","1"
"395","1"
"399","14"
"400","1"
"404","3"
"405","1"
"409","2"
"415","1"
"417","1"
"421","1"
"422","1"
"425","1"
"427","2"
"429","1"
"435","1"
"436","1"
"440","1"
"448","1"
"449","10"
"450","2"
"454","3"
"459","1"
"464","1"
"469","2"
"470","2"
"474","1"
"475","2"
"476","1"
"479","1"
"480","1"
"482","2"
"484","2"
"486","1"
"488","1"
"489","2"
"493","1"
"494","2"
"495","3"
"497","1"
"499","15"
"501","1"
"505","1"
"509","1"
"513","1"
"517","1"
"520","1"
"529","2"
"544","1"
"545","2"
"549","6"
"555","2"
"565","1"
"569","1"
"575","1"
"577","1"
"581","1"
"585","1"
"590","1"
"599","13"
"606","1"
"615","1"
"619","1"
"625","2"
"629","3"
"631","1"
"645","2"
"648","1"
"649","4"
"655","2"
"659","1"
"665","1"
"669","1"
"674","1"
"678","1"
"684","1"
"690","1"
"699","7"
"700","1"
"701","1"
"719","1"
"725","1"
"739","2"
"741","1"
"742","1"
"749","4"
"759","1"
"766","1"
"777","1"
"785","1"
"789","1"
"792","1"
"797","1"
"799","7"
"809","4"
"828","1"
"834","1"
"849","5"
"850","1"
"852","1"
"854","1"
"859","1"
"872","1"
"889","1"
"890","1"
"899","5"
"901","1"
"912","1"
"944","1"
"945","1"
"949","2"
"952","1"
"980","1"
"988","1"
"989","1"
"997","2"
"999","7"
"1095","2"
"1097","1"
"1099","1"
"1110","1"
"1119","1"
"1142","1"
"1149","1"
"1199","3"
"1220","1"
"1233","2"
"1249","1"
"1256","1"
"1259","1"
"1260","1"
"1278","1"
"1290","1"
"1298","3"
"1299","8"
"1329","2"
"1349","2"
"1383","1"
"1399","3"
"1401","1"
"1448","1"
"1449","2"
"1453","1"
"1469","1"
"1499","5"
"1547","1"
"1549","2"
"1550","2"
"1565","1"
"1599","8"
"1614","3"
"1699","3"
"1709","1"
"1799","4"
"1804","1"
"1899","2"
"1999","4"
"2096","1"
"2099","1"
"2119","1"
"2125","1"
"2152","1"
"2190","1"
"2199","2"
"2299","1"
"2345","1"
"2390","1"
"2399","1"
"2454","1"
"2490","1"
"2499","2"
"2590","1"
"2599","1"
"2651","1"
"2690","1"
"2692","1"
"2695","2"
"2699","1"
"2709","2"
"2799","1"
"2819","1"
"2879","1"
"2949","1"
"2969","3"
"2970","1"
"2990","2"
"2995","1"
"2999","5"
"3035","1"
"3059","1"
"3249","1"
"3268","1"
"3295","1"
"3307","2"
"3399","3"
"3499","3"
"3569","1"
"3595","1"
"3599","1"
"3661","1"
"3699","1"
"3746","1"
"3959","1"
"3999","5"
"4000","1"
"4084","1"
"4098","1"
"4199","2"
"4219","1"
"4293","1"
"4319","1"
"4330","1"
"4396","1"
"4399","1"
"4449","2"
