"product_name","sentiment","total_reviews"
"1170BLBR Unique New Day  Date Analog Watch   For Men","negative","24"
"1170BLBR Unique New Day  Date Analog Watch   For Men","neutral","1"
"1170BLBR Unique New Day  Date Analog Watch   For Men","positive","125"
"38024PP25 Minimalists Analog Watch   For Men","positive","9"
"3D METRO SUPER STORE JUICERGduumy 1 Juicer1 Handle1 Jar1 Glass 0 Juicer 1 Jar Green","negative","27"
"3D METRO SUPER STORE JUICERGduumy 1 Juicer1 Handle1 Jar1 Glass 0 Juicer 1 Jar Green","neutral","2"
"3D METRO SUPER STORE JUICERGduumy 1 Juicer1 Handle1 Jar1 Glass 0 Juicer 1 Jar Green","positive","71"
"3D METRO SUPER STORE METROMIXER Pro 0 Juicer 1 Jar Multicolor","positive","28"
"77085PP03 Volt Analog Watch   For Men","positive","45"
"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller??????(Black)","negative","1"
"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller??????(Black)","neutral","1"
"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller??????(Black)","positive","14"
"Ace Banking And Static Awareness Book Latest English Printed EditionPaperback Adda247 Publications","negative","1"
"Ace Banking And Static Awareness Book Latest English Printed EditionPaperback Adda247 Publications","positive","25"
"Ace Reasoning Ability For Banking And Insurance Book 2021 Third English EditionPaperback Adda247 Publications","negative","7"
"Ace Reasoning Ability For Banking And Insurance Book 2021 Third English EditionPaperback Adda247 Publications","neutral","6"
"Ace Reasoning Ability For Banking And Insurance Book 2021 Third English EditionPaperback Adda247 Publications","positive","87"
"Acnos Wood Portable Laptop TableFinish Color  Pink","negative","1"
"Acnos Wood Portable Laptop TableFinish Color  Pink","positive","9"
"Adonai POT1.5LPINK Rice Cooker, Food Steamer, Travel Cooker, Slow Cooker, Electric Pressure Cooker??????(1.5 L, Pink)","negative","34"
"Adonai POT1.5LPINK Rice Cooker, Food Steamer, Travel Cooker, Slow Cooker, Electric Pressure Cooker??????(1.5 L, Pink)","neutral","28"
"Adonai POT1.5LPINK Rice Cooker, Food Steamer, Travel Cooker, Slow Cooker, Electric Pressure Cooker??????(1.5 L, Pink)","positive","137"
"ADONYX Combo of Knee,Palm, Elbow & Ankle Support","negative","9"
"ADONYX Combo of Knee,Palm, Elbow & Ankle Support","neutral","5"
"ADONYX Combo of Knee,Palm, Elbow & Ankle Support","positive","42"
"Adrenex by Flipkart Big Bang 6 inch x 26.5 inch Skateboard??????????(Multicolor, Pack of 1)","negative","77"
"Adrenex by Flipkart Big Bang 6 inch x 26.5 inch Skateboard??????????(Multicolor, Pack of 1)","neutral","17"
"Adrenex by Flipkart Big Bang 6 inch x 26.5 inch Skateboard??????????(Multicolor, Pack of 1)","positive","318"
"Adrenex by Flipkart Drift 100BK Quad Roller Skates - Size 1-7 UK??????????(Black)","negative","13"
"Adrenex by Flipkart Drift 100BK Quad Roller Skates - Size 1-7 UK??????????(Black)","neutral","3"
"Adrenex by Flipkart Drift 100BK Quad Roller Skates - Size 1-7 UK??????????(Black)","positive","116"
"AdroitZ SUPERIOR QUALITY ANTI CUT SAFETY HAND GLOVE-13 Nylon, Synthetic, Latex  Safety Gloves??????(8)","negative","30"
"AdroitZ SUPERIOR QUALITY ANTI CUT SAFETY HAND GLOVE-13 Nylon, Synthetic, Latex  Safety Gloves??????(8)","neutral","10"
"AdroitZ SUPERIOR QUALITY ANTI CUT SAFETY HAND GLOVE-13 Nylon, Synthetic, Latex  Safety Gloves??????(8)","positive","60"
"ADZOY Metal Lazy Stand Bracket for Neck Rest on Bed 360 Degree Mobile Holder Mobile Holder","negative","18"
"ADZOY Metal Lazy Stand Bracket for Neck Rest on Bed 360 Degree Mobile Holder Mobile Holder","neutral","8"
"ADZOY Metal Lazy Stand Bracket for Neck Rest on Bed 360 Degree Mobile Holder Mobile Holder","positive","36"
"Aero Seeds 40 Varieties of Flower Combo Pack Seed2050 per packet","negative","89"
"Aero Seeds 40 Varieties of Flower Combo Pack Seed2050 per packet","neutral","26"
"Aero Seeds 40 Varieties of Flower Combo Pack Seed2050 per packet","positive","385"
"Aero Seeds Aero Seeds 45 Varieties 2700 seedsOrganicHybrid Fruits  Vegetables Seed with Start your own Garden Seed4000 per packet","negative","73"
"Aero Seeds Aero Seeds 45 Varieties 2700 seedsOrganicHybrid Fruits  Vegetables Seed with Start your own Garden Seed4000 per packet","neutral","16"
"Aero Seeds Aero Seeds 45 Varieties 2700 seedsOrganicHybrid Fruits  Vegetables Seed with Start your own Garden Seed4000 per packet","positive","211"
"AGAMI Green 2 Layer Lucky Bamboo plant with Big Round Glass Pot and Colored Jelly Balls Seed1 per packet","negative","9"
"AGAMI Green 2 Layer Lucky Bamboo plant with Big Round Glass Pot and Colored Jelly Balls Seed1 per packet","neutral","12"
"AGAMI Green 2 Layer Lucky Bamboo plant with Big Round Glass Pot and Colored Jelly Balls Seed1 per packet","positive","179"
"AGARO Caspian Cool Mist Ultrasonic Humidifier Super Quiet Auto Shut Off Room Air PurifierWhite","negative","2"
"AGARO Caspian Cool Mist Ultrasonic Humidifier Super Quiet Auto Shut Off Room Air PurifierWhite","positive","9"
"AGARO Imperial Slow Juicer 240 Juicer Grey","negative","12"
"AGARO Imperial Slow Juicer 240 Juicer Grey","neutral","1"
"AGARO Imperial Slow Juicer 240 Juicer Grey","positive","222"
"AGARO Regal Hand-held Vacuum CleanerÐÒ?ÐÓ®ÐÂ ÐÒ?ÐÓ®ÐÂ (Black)","negative","228"
"AGARO Regal Hand-held Vacuum CleanerÐÒ?ÐÓ®ÐÂ ÐÒ?ÐÓ®ÐÂ (Black)","neutral","47"
"AGARO Regal Hand-held Vacuum CleanerÐÒ?ÐÓ®ÐÂ ÐÒ?ÐÓ®ÐÂ (Black)","positive","1307"
"Airtel Airtel Universal Setup box Remote Digital Setup box Universal Remote Airtel Remote Controller??????(Black)","negative","15"
"Airtel Airtel Universal Setup box Remote Digital Setup box Universal Remote Airtel Remote Controller??????(Black)","neutral","4"
"Airtel Airtel Universal Setup box Remote Digital Setup box Universal Remote Airtel Remote Controller??????(Black)","positive","51"
"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller??????(Black)","negative","5"
"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller??????(Black)","neutral","3"
"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller??????(Black)","positive","29"
"Airtel Regular Digital TV DTH Remote Compatible with SD and HD Recording (Black) Airtel Remote Controller??????(Black)","negative","18"
